filename,variable,group_id,mean,sd,n,r,se,error_type,plot_type,
1155_bumba_fl.png,bumb-fl,c2,0,0,3,NA,0,se,mean_error,
1155_bumba_fl.png,bumb-fl,ab1,55.7142884390695,19.7948663722157,3,NA,11.4285714285714,se,mean_error,
1155_bumba_fl.png,bumb-fl,ab2,19.2857170104981,3.71153744479044,3,NA,2.14285714285714,se,mean_error,
1155_bumba_fl.png,bumb-fl,ad1,44.2857170104981,21.6506350946109,3,NA,12.5,se,mean_error,
1155_bumba_fl.png,bumb-fl,ad2,22.5000027247838,9.89743318610788,3,NA,5.71428571428572,se,mean_error,
1155_bumba_fl.png,bumb-fl,pb1,0,0,3,NA,0,se,mean_error,
1155_bumba_fl.png,bumb-fl,pb2,2.50000272478379,3.71153744479044,3,NA,2.14285714285714,se,mean_error,
1155_bumba_fl.png,bumb-fl,pd1,3.57143129621236,4.33012701892221,3,NA,2.50000000000001,se,mean_error,
1155_bumba_fl.png,bumb-fl,pd2,9.64285986764094,3.09294787065872,3,NA,1.78571428571429,se,mean_error,
1155_bumba_fl.png,bumb-fl,m1,51.4285741533552,14.8461497791618,3,NA,8.57142857142857,se,mean_error,
1155_bumba_fl.png,bumb-fl,m2,18.5714312962124,11.7532019085031,3,NA,6.78571428571429,se,mean_error,
1155_bumba_mi.png,bumb-mi,c1,0.476190533857864,0.274928732908387,3,NA,0.15873017795262,se,mean_error,
1155_bumba_mi.png,bumb-mi,c2,0.31746035590524,0,3,NA,0,se,mean_error,
1155_bumba_mi.png,bumb-mi,ab1,3.01587338109981,3.84900226071745,3,NA,2.2222224913367,se,mean_error,
1155_bumba_mi.png,bumb-mi,ab2,4.76190533857864,3.84900226071745,3,NA,2.2222224913367,se,mean_error,
1155_bumba_mi.png,bumb-mi,ad1,2.38095266928932,1.92450113035873,3,NA,1.11111124566835,se,mean_error,
1155_bumba_mi.png,bumb-mi,ad2,1.26984142362097,1.64957239745034,3,NA,0.952381067715732,se,mean_error,
1155_bumba_mi.png,bumb-mi,pb1,24.7619077606089,18.1452963719537,3,NA,10.476191744873,se,mean_error,
1155_bumba_mi.png,bumb-mi,pb2,10.7936521007783,7.9729332543433,3,NA,4.60317516062603,se,mean_error,
1155_bumba_mi.png,bumb-mi,pd1,8.41269943148894,5.2236459252594,3,NA,3.01587338109981,se,mean_error,
1155_bumba_mi.png,bumb-mi,pd2,8.73015978739418,8.79771945306847,3,NA,5.07936569448389,se,mean_error,
1155_bumba_mi.png,bumb-mi,m1,5.55555622834175,2.47435859617551,3,NA,1.42857160157359,se,mean_error,
1155_bumba_mi.png,bumb-mi,m2,6.03174676219961,0.824786198725167,3,NA,0.476190533857864,se,mean_error,
1473_data1.png,richness,WFS,21.0714285714286,-5.429923164,20,NA,-1.214167731,sd,boxplot,
1473_data1.png,richness,CONTROL,1.22448979591837,-1.284619137,10,NA,-0.40623224,sd,boxplot,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
190_data_2012_ba.png,ba,control-6,0.255543737177483,0,4,NA,0,se,mean_error,
190_data_2012_ba.png,ba,control-7,2.31463023095516,4.43495031952334,4,NA,2.21747515976167,se,mean_error,
190_data_2012_ba.png,ba,control-8,0.572328319713844,0.316782165680234,4,NA,0.158391082840117,se,mean_error,
190_data_2012_ba.png,ba,cn-6,9.91740220728088,9.18668280472692,4,NA,4.59334140236346,se,mean_error,
190_data_2012_ba.png,ba,cn-7,18.4705206806473,9.18668280472693,4,NA,4.59334140236346,se,mean_error,
190_data_2012_ba.png,ba,cn-8,33.5176735504587,21.8579694319365,4,NA,10.9289847159682,se,mean_error,
190_data_2012_ba.png,ba,m-6,15.1443079410048,15.2055439526515,4,NA,7.60277197632573,se,mean_error,
190_data_2012_ba.png,ba,m-7,15.1443079410048,9.50346497040717,4,NA,4.75173248520358,se,mean_error,
190_data_2012_ba.png,ba,m-8,20.6879934235529,20.2740586035353,4,NA,10.1370293017676,se,mean_error,
190_data_2012_ba.png,ba,on-6,0,0,4,NA,0,se,mean_error,
190_data_2012_ba.png,ba,on-7,0.730719402553961,0.316782165680245,4,NA,0.158391082840122,se,mean_error,
190_data_2012_ba.png,ba,on-8,0.572328319713844,0.316782165680234,4,NA,0.158391082840117,se,mean_error,
